Name	Set	ImageFile	Type	Clan	Group	Capacity	Discipline	PoolCost	BloodCost	Text	Rarity
Aabbt Kindred	FN	aabbtkindredg2,cardbackcrypt	Vampire	Ministry	2	4	for pre ser			Independent: Aabbt Kindred cannot perform directed actions unless Nefertiti is ready. Aabbt Kindred can prevent 1 damage each combat. Non-unique.	FN:U2, POD:DTC
Aaron Bathurst	Third	aaronbathurstg4,cardbackcrypt	Vampire	Nosferatu antitribu	4	4	for obf pot			Sabbat.	Third:V
Aaron Duggan, Cameron's Toady	SW	aaronduggancameronstoadyg2,cardbackcrypt	Vampire	Lasombra	2	2	obt			Sabbat.	Sabbat:V, SW:U, POD:DTC
Abd al-Rashid	FN	abdalrashidg2,cardbackcrypt	Vampire	Banu Haqim	2	5	obf CEL QUI			Independent: Blood cursed.	AH:V3, FN:PA, POD:DTC
Abdelsobek	LotN	abdelsobekg5,cardbackcrypt	Vampire	Ministry	5	5	for nec obf pre ser			Independent: Abdelsobek can unlock a vampire or mummy you control as a +1 stealth action.	LotN:U, POD:DTC
Abebe	HttB	abebeg4,cardbackcrypt	Vampire	Samedi	4	4	nec obf thn			Independent.	LoB:U, HttB:PSam
Abid bin Haji, Scholar of Mirrors	TU	abidbinhajischolarofmirrorsg6,cardbackcrypt	Vampire	Banu Haqim	6	7	AUS CEL OBF QUI			Camarilla: Blood cursed.	TU:C/A2
Abiku	EK	abikug4,cardbackcrypt	Vampire	Osebo	4	6	cel obt AUS POT			Laibon: Abiku gets +1 stealth when hunting.	EK:U
Abraham DuSable	NB	abrahamdusableg6,cardbackcrypt	Vampire	Tremere	6	8	AUS DOM FOR THA			Camarilla: During an action, Abraham can discard a card requiring Blood Sorcery [tha] to get +1 intercept or +1 stealth.	NB:PTr1
Abraham Mellon	FoL	abrahammellong6,cardbackcrypt	Vampire	Malkavian	6	8	for tha AUS DOM OBF			Camarilla: Abraham can play cards requiring a Tremere as if he were a Tremere. While he is ready, you get +1 hand size.	FoL:2
Abu Nuwasi	EK	abunuwasig4,cardbackcrypt	Vampire	Ishtarri	4	3	cel for			Laibon.	EK:U
Accorri Giovanni	LotN	accorrigiovannig5,cardbackcrypt	Vampire	Giovanni	5	6	ani nec DOM POT			Independent.	LotN:U, POD:DTC
Adana de Sforza	KoT	adanadesforzag4,cardbackcrypt	Vampire	Brujah	4	11	aus CEL OBF POT PRE PRO			Camarilla Brujah Inner Circle: Combat cards cost Adana 1 fewer blood. +2 bleed.	KoT:PB2/A2
Adelaide Davis	BSC	adelaidedavisg3,cardbackcrypt	Vampire	Malkavian	3	4	aus dem obf			Camarilla.	CE:V, BSC:X
Adelino Da Silva	FoL	adelinodasilvag6,cardbackcrypt	Vampire	Brujah	6	5	cel pot pre tha			Camarilla: Rescuing an older vampire from torpor costs Adelino -2 blood.	FoL:2
Adhiambo	LoB	adhiambog4,cardbackcrypt	Vampire	Tzimisce	4	6	pot ANI VIC			Laibon: Adhiambo gets +1 stealth when equipping with a weapon from your hand and +1 stealth on actions to enter combat with other minions.	LoB:U
Adisa	FoL	adisag6,cardbackcrypt	Vampire	Banu Haqim	6	3	cel obf			Camarilla: Adisa can enter combat with an ally or younger vampire as a (D) action. If she successfully hunts, she does not unlock as normal during her next unlock phase.	FoL:2
Adonai	BL	adonaig2,cardbackcrypt	Vampire	Salubri antitribu	2	7	for AUS VAL			Sabbat: Adonai can enter combat with any ready Camarilla vampire controlled by another Methuselah as a (D) action. He gets +1 strength when in combat with a Tremere. +1 bleed.	BL:U1
Adri, The Seeker	TU	adritheseekerg6,cardbackcrypt	Vampire	Ravnos	6	2	for			Independent: Adri gets +1 intercept against Followers of Set.	TU:C/A2
Adrianne	Tenth	adrianneg1,cardbackcrypt	Vampire	Toreador	1	6	aus cel pot pre			Camarilla: +1 bleed.	Jyhad:V, VTES:V, Tenth:B
Aeron	Gehenna	aerong3,cardbackcrypt	Vampire	Nosferatu antitribu	3	9	aus pro ANI OBF POT			Sabbat Archbishop of London: Minions opposing Aeron in combat take an additional point of damage during strike resolution if the range is close. Once each combat, Aeron may burn a blood for a press.	Gehenna:U
Afifa, The Herald	Gehenna	afifatheheraldg4,cardbackcrypt	Vampire	Caitiff	4	1	dom			Camarilla: When you put a Gehenna card in play, your prey burns 1 pool. If you do not put a Gehenna card in play during your discard phase, a ready vampire you control other than Afifa burns 1 blood, or you burn 1 pool.	Gehenna:U
Agaitas, The Scholar of Antiquities	BL	agaitasthescholarofantiquitiesg2,cardbackcrypt	Vampire	Harbinger of Skulls	2	6	for AUS NEC			Sabbat: When you play a card, you may draw its replacement from your prey's library instead of your own. Put the card drawn face-up in front of you. It is still considered to be in your hand, to be played or discarded as normal.	BL:U2
Agatha	SW	agathag2,cardbackcrypt	Vampire	Nosferatu antitribu	2	4	obf POT			Sabbat.	Sabbat:V, SW:U
Agi	LK	agig6,cardbackcrypt	Vampire	Blood Brother	6	6	FOR SAN VIC			Sabbat: Cards requiring Sanguinus [san] cost Agi 1 fewer blood. Budapest circle. Sterile.	LK:2
Agrippina	Tenth	agrippinag1,cardbackcrypt	Vampire	Nosferatu	1	4	pot OBF			Camarilla.	Jyhad:V, VTES:V, Tenth:A
