Name	Set	ImageFile	Type	Clan	Group	Capacity	Discipline	PoolCost	BloodCost	Text	Rarity
Cultist's .44 Magnum	MilleniumCultist	cultists44magnum,cardbackcultist	Equipment					0		Weapon, gun. 2R damage each strike, with an optional maneuver each combat. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Aire of Elation	MilleniumCultist	cultistsaireofelation,cardbackcultist	Action Modifier				Presence		0	You may play more action modifiers to further increase the bleed for this action. [pre] +2 bleed; +3 bleed if the acting vampire is Reverend Adams, Millennium Cultist. [PRE] +3 bleed; +4 bleed if the acting vampire is Reverend Adams, Millennium Cultist. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Arms Dealer	MilleniumCultist	cultistsarmsdealer,cardbackcultist	Ally							NOTE: Does not require a clan. Mortal with 2 life. Cultist. 1 strength, 0 bleed. Cultist's Arms Dealer may take a +2 stealth action to allow you to search your library or Reverend Adams deck's library for a weapon and move it to your hand. Discard to your hand size and shuffle your library afterward. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Assault Rifle	MilleniumCultist	cultistsassaultrifle,cardbackcultist	Equipment					0		Weapon: gun. 4R damage each strike, with an optional maneuver each combat. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Atonement	MilleniumCultist	cultistsatonement,cardbackcultist	Action						0	+1 stealth action. Requires a vampire. Put this card on the acting vampire. This vampire gets +2 intercept when attempting to block. He or she does not lock when blocking a vampire of the same age or younger. Any vampire may burn this card as a (D) action; Followers of Set get -1 stealth when attempting that action. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's AWE	MilleniumCultist	cultistsawe,cardbackcultist	Action Modifier				Presence		X	Only usable during a referendum. [pre] This vampire gets 2X+1 votes. [PRE] As above, but this vampire gets 3X+1 votes. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Blood Feast	MilleniumCultist	cultistsbloodfeast,cardbackcultist	Action						0	+1 stealth action. Requires a vampire. Each ready vampire you control gains 2 blood from the blood bank. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Bomb	MilleniumCultist	cultistsbomb,cardbackcultist	Equipment					0		Weapon. 5R damage as a strike. If the bomb is used in combat, the bearer takes 5 damage as well. The minion with this weapon may burn a location as a (D) action. Burn the Cultist's Bomb after use. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Combat Shotgun	MilleniumCultist	cultistscombatshotgun,cardbackcultist	Equipment					0		Weapon, Gun. 3R damage each strike, only usable once each round. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Creation Rites	MilleniumCultist	cultistscreationrites,cardbackcultist	Action					0		+2 stealth action. Requires a ready vampire. Put this card in play. It beomes a 2-capacity cultist vampire. You may move a blood from the acting vampire to this card. This vampire is not considered unique. This vampire must hunt this turn, and is clanless. While you control Reverend Adams, Millennium Cultist, actions taken by this vampie are unblockable. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Enchant Kindred	MilleniumCultist	cultistsenchantkindred,cardbackcultist	Action				Presence			[pre] (D) Bleed with +2 bleed. +3 bleed if the acting vampire is Reverend Adams, Millennium Cultist. [PRE] +2 stealth action. Move 4 blood from the blood bank to a vampire in your uncontrolled region. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Enhanced Senses	MilleniumCultist	cultistsenhancedsenses,cardbackcultist	Reaction				Auspex			[aus] +2 intercept. [AUS] +3 intercept. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Entrancement	MilleniumCultist	cultistsentrancement,cardbackcultist	Action				Presence			[pre] (D) Bleed with +2 bleed. [PRE] (D) +1 stealth action. Take control of an ally controlled by another Methuselah. If the acting vampire is Reverend Adams, Millennium Cultist the action is unblockable. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Esgrima	MilleniumCultist	cultistsesgrima,cardbackcultist	Master							Unique. Trifle. Put this card in play and gain 3 pool. Lock during a political action to give 5 additional votes to a vampire with a capacity above 3. During your discard phase, your predator takes control of Esgrima. NOT FOR LEGAL PLAY	Storyline Promo
Cultist's Flamethrower	MilleniumCultist	cultistsflamethrower,cardbackcultist	Equipment					0		Weapon. 2R aggravated damage each strike. NOT FOR LEGAL PLAY	Storyline Promo
