Name	Set	ImageFile	Type	Clan	Group	Capacity	Discipline	PoolCost	BloodCost	Text	Rarity
Baleful Bum's Rush	PrinceOfHell	balefulbumsrush,	Action							(D) Enter combat with a ready minion controlled by another Methuselah. The acting minion gets an optional maneuver during this combat. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Condemnation: Betrayed	PrinceOfHell	demoniccondemnationbetrayed,cardbacknergal	Action				Daimoinon/Serpentis			+1 stealth action. Condemnation.[ser] (D) Lock a younger vampire.[dai] Requires an Infernal vampire. (D) Put this card on a ready minion. Bleed actions cost the minion with this card an additional blood.[DAI] As [dai] above, and the minion's controller burns the top card from his or her library during each of his or her unlock phases. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Condemnation: Doomed	PrinceOfHell	demoniccondemnationdoomed,cardbacknergal	Action				Daimoinon/Obfuscate			+1 stealth action. Condemnation.[obf] (D) Lock a younger vampire.[dai] Requires an Infernal vampire. (D) Put this card on a ready minion. The minion with this card has -1 stealth.[DAI] As [dai] above, and the minion's controller burns 1 pool each time the minion is successfully blocked. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Condemnation: Languid	PrinceOfHell	demoniccondemnationlanguid,cardbacknergal	Action				Daimoinon/Presence			+1 stealth action. Condemnation.[pre] (D) Lock a younger vampire.[dai] Requires an Infernal vampire. (D) Put this card on a ready minion. The minion with this card has -1 strength.[DAI] As [dai] above, and the minion cannot use presses in combat. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Condemnation: Mute	PrinceOfHell	demoniccondemnationmute,cardbacknergal	Action				Daimoinon/Chimerstry			1 stealth action. Condemnation.[chi] (D) Lock a younger vampire.[dai] Requires an infernal vampire. (D) Put this card on a ready vampire. The attached} vampire} gets} -3 votes. Burn all other Condemnations on this minion.[DAI] As [dai]} above, and the attached} vampire burns 1 blood each time a referendum passes. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Confusion of the Eye	PrinceOfHell	demonicconfusionoftheeye,cardbacknergal	Reaction				Obfuscate			[obf] Reduce a younger vampire's or an ally's bleed against you by 2.[OBF] Only usable during a referendum before any votes are cast. Not usable on a referendum that is automatically passing. The referendum fails. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Freak Drive	PrinceOfHell	demonicfreakdrive,cardbacknergal	Action Modifier				Fortitude		1	[for] Only usable at the end of a successful action (after resolving the action). Unlock this vampire.[FOR] As above, but usable even if the action is blocked (play after combat, if any). NOT FOR LEGAL PLAY	Storyline Promo
Demonic Herald of Topheth	PrinceOfHell	demonicheraldoftopheth,cardbacknergal	Ally	Baali					3	Demon with 5 life. 3 strength, 2 bleed, flight [FLIGHT].The Herald may enter combat with a ready minion controlled by another Methuselah as a (D) action. The Herald may play cards requiring basic Daimoinon [dai], Potence [pot] and/or Presence [pre] as a vampire with a capacity of 5. Any cost in blood is paid with his life. If a card would give him blood, give him life instead. If the Herald has less than 5 life during your unlock phase, add 1 life. During your influence phase, burn 1 pool or burn the Herald. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Minion Tap	PrinceOfHell	demonicminiontap,cardbacknergal	Master							Move any amount of blood from one of the vampires you control to your pool. NOT FOR LEGAL PLAY	Storyline Promo
Demonic Pulse of the Canaille	PrinceOfHell	demonicpulseofthecanaille,cardbacknergal	Action				Auspex		3	+1 stealth action.[aus] For the remainder of this turn, you may look at all Methuselahs' hands.[AUS] Put this card on the acting vampire. The vampire with this card gets +2 bleed. A vampire can have only 1 Pulse of the Canaille. NOT FOR LEGAL PLAY	Storyline Promo
