Abbrev,Release Date,Full Name,Company
"Jyhad","19940816","Jyhad","Wizards of the Coast"
"VTES","19950915","Vampire: The Eternal Struggle","Wizards of the Coast"
"DS","19951215","Dark Sovereigns","Wizards of the Coast"
"AH","19960529","Ancient Hearts","Wizards of the Coast"
"Sabbat","19961028","Sabbat","Wizards of the Coast"
"SW","20001031","Sabbat War","White Wolf"
"FN","20010611","Final Nights","White Wolf"
"BL","20011203","Bloodlines","White Wolf"
"CE","20020819","Camarilla Edition","White Wolf"
"Anarchs","20030519","Anarchs","White Wolf"
"BH","20031117","Black Hand","White Wolf"
"Gehenna","20040517","Gehenna","White Wolf"
"Tenth","20041213","Tenth Anniversary","White Wolf"
"KMW","20050221","Kindred Most Wanted","White Wolf"
"LoB","20051114","Legacies of Blood","White Wolf"
"NoR","20060410","Nights of Reckoning","White Wolf"
"Third","20060904","Third Edition","White Wolf"
"SoC","20070319","Sword of Caine","White Wolf"
"LotN","20070926","Lords of the Night","White Wolf"
"BSC","20080414","Blood Shadowed Court","White Wolf"
"TR","20080528","Twilight Rebellion","White Wolf"
"KoT","20081119","Keepers of Tradition","White Wolf"
"EK","20090527","Ebony Kingdom","White Wolf"
"HttB","20100203","Heirs to the Blood","White Wolf"
"DM","20131004","Danse Macabre","V:EKN"
"TU","20141004","The Unaligned","V:EKN"
"AU","20160117","Anarch Unbound","V:EKN"
"Anthology","20170511","Anthology","White Wolf Publishing AB"
"LK","20180511","Lost Kindred","White Wolf Entertainment AB"
